Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,demand_multiplier,supply_multiplier,adjusted_ride_cost,profit_percentage
90,4.178331127370225,Urban,Silver,13,4.47,Night,Premium,90,284.25727302188227,1.1111111111111112,0.8444444444444444,5.589906276512903,-6.172839506172827
58,4.012805430898135,Suburban,Silver,72,4.06,Evening,Economy,43,173.87475274940766,1.45,0.9743589743589743,5.507985804332567,41.28205128205126
42,3.7506765155716404,Rural,Silver,0,3.99,Afternoon,Premium,76,329.7954689622466,1.05,1.2258064516129032,6.0532148509770565,28.70967741935484
89,3.635872280930758,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012317513198,1.0987654320987654,1.3571428571428572,6.554154821512941,49.11816578483247
78,3.367537919264461,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814223640141,1.95,1.7272727272727273,7.57736379980337,236.8181818181818
59,3.888709293786176,Urban,Silver,83,3.51,Night,Economy,128,339.9553606047221,1.475,1.0857142857142856,6.301545556398171,60.14285714285714
93,4.12557214693203,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.06154127359152,1.1481481481481481,0.8837209302325582,4.6689452990426314,1.4642549526270596
62,4.012805430898135,Rural,Gold,83,3.59,Afternoon,Premium,47,235.81186355605,1.55,0.9743589743589743,5.878117721576543,51.025641025641036
79,2.880009005515603,Rural,Silver,71,3.74,Evening,Economy,128,501.4125174833056,1.975,2.7142857142857144,7.896898343356197,436.07142857142856
42,2.033671478440892,Rural,Silver,21,3.85,Night,Premium,128,398.9933645706103,1.05,1.8333333333333333,6.6451718853455555,92.5
86,3.0868124968095176,Urban,Regular,99,4.69,Morning,Economy,167,669.2986264658781,1.0617283950617284,2.235294117647059,7.371130649584025,137.32752360203344
60,3.982931771429641,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047325251,1.5,1.0,6.435324959060927,49.999999999999986
24,2.3095478330554635,Rural,Gold,50,4.12,Morning,Economy,164,490.41072171830416,0.6,1.375,6.292405445109427,10.0
36,3.4637385108011927,Suburban,Silver,88,4.22,Night,Premium,83,296.24287599192223,0.9,1.5833333333333333,6.047717505439053,42.50000000000001
63,2.8021934018688746,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888648717375,1.575,2.923076923076923,7.317787815494314,360.38461538461536
39,2.7188773334623453,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684239125,0.975,3.1666666666666665,7.226470853095951,208.75
38,3.635872280930758,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718306458,0.95,1.3571428571428572,5.7566183896558485,28.928571428571438
46,2.880009005515603,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863361691,1.15,2.7142857142857144,5.001851730002113,212.1428571428571
33,2.179864811772348,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629093964,0.825,1.5714285714285714,5.131596331400583,29.64285714285713
31,2.179864811772348,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103198511,0.775,1.5714285714285714,6.178816102109015,25.71428571428571
96,4.178331127370225,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318243978,1.1851851851851851,0.8444444444444444,4.428921181129858,0.08230452674894949
22,2.629200764425884,Suburban,Silver,79,4.48,Night,Economy,15,64.07117255500656,0.55,1.0,3.956172667560903,-20.0
74,3.021796196582768,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658288554,1.85,2.375,7.448625542210218,339.375
24,2.7188773334623453,Urban,Regular,10,3.6,Evening,Premium,45,212.16652497375452,0.6,3.1666666666666665,6.288766196338975,153.33333333333334
48,3.207096731201231,Suburban,Gold,72,3.81,Night,Premium,65,235.65813370551408,1.2,2.0,6.339617442890818,140.0
56,2.8021934018688746,Rural,Regular,36,4.81,Evening,Economy,162,406.5574980533908,1.4,2.923076923076923,7.4174352727541715,309.23076923076917
72,3.8216325754759755,Rural,Gold,66,4.39,Morning,Premium,30,182.4744270596517,1.8,1.1515151515151516,5.938115777313882,107.2727272727273
97,4.781642782060172,Urban,Silver,76,4.7,Night,Economy,158,652.617297300081,1.1975308641975309,0.5066666666666667,6.439707311895252,-4.197530864197536
62,3.8216325754759755,Suburban,Regular,39,3.91,Evening,Premium,129,403.22709836941993,1.55,1.1515151515151516,6.580221956760624,78.48484848484851
57,3.982931771429641,Suburban,Silver,54,4.1,Night,Premium,131,537.7848594528473,1.425,1.0,6.64293445177004,42.50000000000001
25,2.179864811772348,Suburban,Silver,13,3.99,Morning,Premium,81,286.13145256368455,0.625,1.5714285714285714,5.888069076690016,25.71428571428571
75,4.434298078127612,Suburban,Gold,94,4.79,Evening,Premium,153,485.0546633356366,1.875,0.6785714285714286,6.591100172497856,49.99999999999999
39,2.4261372562229817,Urban,Gold,39,4.64,Afternoon,Premium,48,171.0859835160851,0.975,1.2222222222222223,5.322412062324217,19.166666666666668
35,3.4637385108011927,Suburban,Gold,73,3.76,Evening,Premium,105,485.8784537318511,0.875,1.5833333333333333,6.513443897812466,38.54166666666666
68,3.7866679764325752,Suburban,Regular,34,3.58,Morning,Economy,77,294.7328864777875,1.7,1.1875,6.390227268614908,101.87499999999999
96,4.12557214693203,Rural,Silver,97,3.68,Morning,Premium,91,392.83872040801793,1.1851851851851851,0.8837209302325582,6.022111716030333,4.737295434969863
28,2.629200764425884,Suburban,Gold,52,4.33,Afternoon,Premium,94,456.1809467866996,0.7,1.0,5.902482386024028,-20.0
25,2.9530197178004727,Rural,Gold,65,4.88,Evening,Premium,101,502.5293207873477,0.625,2.533333333333333,6.927027788793181,102.66666666666669
28,2.033671478440892,Suburban,Regular,2,4.29,Morning,Economy,89,244.21766165291973,0.7,1.8333333333333333,5.883840092221519,46.66666666666667
73,3.0868124968095176,Rural,Regular,14,4.81,Evening,Premium,170,634.7265312250814,1.825,2.235294117647059,7.859533177934734,307.9411764705882
36,3.148466777251928,Urban,Silver,88,3.73,Night,Premium,92,345.40676830595487,0.9,2.111111111111111,6.488099243958079,90.00000000000001
56,2.532082587647967,Urban,Silver,55,4.5,Night,Economy,45,151.15212964816465,1.4,1.1,5.454356032970056,54.0
97,4.874140832670354,Suburban,Regular,52,4.56,Evening,Economy,125,530.7599938912294,1.1975308641975309,0.4691358024691358,6.233392912496363,-4.1975308641975335
63,2.4261372562229817,Rural,Regular,89,3.87,Afternoon,Premium,166,482.85016419959805,1.575,1.2222222222222223,6.835707638669356,92.5
78,3.8216325754759755,Urban,Silver,35,4.46,Morning,Premium,116,355.9595074862448,1.95,1.1515151515151516,6.684975279178505,124.54545454545456
29,2.532082587647967,Suburban,Regular,25,3.77,Afternoon,Economy,91,303.9609626071891,0.725,1.1,5.5927974566330505,-11.99999999999999
73,3.8216325754759755,Suburban,Silver,60,3.88,Night,Premium,161,514.8771742414517,1.825,1.1515151515151516,6.987510729559197,110.15151515151516
94,3.675352035949153,Urban,Regular,67,3.59,Evening,Premium,96,361.13235495172165,1.1604938271604939,1.3103448275862069,6.310199806678766,52.06470838654745
54,3.635872280930758,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462184758,1.35,1.3571428571428572,4.997565598186333,83.21428571428572
67,2.033671478440892,Rural,Gold,15,3.53,Night,Economy,123,420.6239113101238,1.675,1.8333333333333333,7.16446197543358,207.08333333333337
23,2.3095478330554635,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706123274,0.575,1.375,6.35259792835679,10.000000000000016
70,2.880009005515603,Urban,Silver,16,4.3,Morning,Economy,53,183.07579104191225,1.75,2.7142857142857144,6.769194123939661,375.00000000000006
20,2.532082587647967,Rural,Silver,70,4.92,Evening,Economy,65,190.13746358777752,0.5,1.1,5.1258726802293655,-11.999999999999982
95,4.917991352427145,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021028701461,1.1728395061728396,0.4523809523809524,6.196568829433625,-6.172839506172818
43,3.021796196582768,Urban,Silver,40,4.89,Night,Premium,106,410.6863449474928,1.075,2.375,6.956101129643766,155.31250000000003
97,4.413074286717208,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711291002,1.1975308641975309,0.6909090909090909,6.330505782602863,-4.197530864197536
32,3.262991278058612,Rural,Silver,44,3.55,Night,Economy,68,301.62262644973293,0.8,1.9,6.130065799193997,52.0
95,3.509113973502143,Suburban,Regular,72,4.16,Morning,Premium,128,413.5870840445325,1.1728395061728396,1.52,6.604361532123044,78.27160493827162
47,2.9530197178004727,Urban,Gold,14,4.84,Night,Economy,89,273.11810461931896,1.175,2.533333333333333,6.701937709828822,197.66666666666669
25,2.629200764425884,Rural,Silver,33,3.85,Night,Economy,94,247.1745626508575,0.625,1.0,5.291995677314025,-19.999999999999996
37,3.367537919264461,Rural,Regular,76,4.72,Afternoon,Economy,69,213.4432507972432,0.925,1.7272727272727273,5.834881211124054,59.77272727272729
59,4.012805430898135,Suburban,Gold,49,3.78,Morning,Premium,98,295.79438015283176,1.475,0.9743589743589743,6.054696626734751,43.71794871794873
42,3.262991278058612,Urban,Silver,88,4.64,Night,Premium,29,145.0698091748401,1.05,1.9,5.671308418464567,99.49999999999999
53,2.629200764425884,Rural,Regular,2,3.5,Afternoon,Premium,81,297.0186264188845,1.325,1.0,5.97774506392888,32.49999999999999
79,4.592314111729054,Rural,Regular,91,4.57,Night,Economy,164,666.6870291344428,1.975,0.59375,6.960694448903956,58.00000000000001
59,3.4165954829189302,Urban,Gold,41,4.97,Evening,Premium,91,449.5456339145253,1.475,1.6521739130434783,6.999899693387058,143.69565217391303
40,3.675352035949153,Urban,Regular,72,4.3,Afternoon,Economy,147,624.9860100296204,1.0,1.3103448275862069,6.709239930325553,31.03448275862068
76,4.041974204165416,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520851587072,1.9,0.95,5.16102778575078,80.5
41,3.552852430579554,Urban,Regular,96,3.91,Night,Economy,169,637.7593915947267,1.025,1.4615384615384615,6.8631894381566125,49.80769230769228
